Name,List,source
ATP1B1,Regulatory T (Treg) cell-T,cellmarker
ATP6V0A1,Regulatory T (Treg) cell-T,cellmarker
ATP6V1C2,Regulatory T (Treg) cell-T,cellmarker
BACH1,Regulatory T (Treg) cell-T,cellmarker
BATF,Regulatory T (Treg) cell-T,cellmarker
BEX3,Regulatory T (Treg) cell-T,cellmarker
BIRC3,Regulatory T (Treg) cell-T,cellmarker
BST2,Regulatory T (Treg) cell-T,cellmarker
BTG3,Regulatory T (Treg) cell-T,cellmarker
C15orf53,Regulatory T (Treg) cell-T,cellmarker
C16orf87,Regulatory T (Treg) cell-T,cellmarker
C21orf91,Regulatory T (Treg) cell-T,cellmarker
C3AR1,Regulatory T (Treg) cell-T,cellmarker
C7orf25,Regulatory T (Treg) cell-T,cellmarker
C9orf16,Regulatory T (Treg) cell-T,cellmarker
CACYBP,Regulatory T (Treg) cell-T,cellmarker
CADM1,Regulatory T (Treg) cell-T,cellmarker
CALM3,Regulatory T (Treg) cell-T,cellmarker
CARD16,Regulatory T (Treg) cell-T,cellmarker
CARD17,Regulatory T (Treg) cell-T,cellmarker
CASP1,Regulatory T (Treg) cell-T,cellmarker
CBX5,Regulatory T (Treg) cell-T,cellmarker
CCDC141,Regulatory T (Treg) cell-T,cellmarker
CCDC22,Regulatory T (Treg) cell-T,cellmarker
CCDC50,Regulatory T (Treg) cell-T,cellmarker
CCND2,Regulatory T (Treg) cell-T,cellmarker
CCNG2,Regulatory T (Treg) cell-T,cellmarker
CCR1,Regulatory T (Treg) cell-T,cellmarker
CCR4,Regulatory T (Treg) cell-T,cellmarker
CCR8,Regulatory T (Treg) cell-T,cellmarker
CD177,Regulatory T (Treg) cell-T,cellmarker
CD27,Regulatory T (Treg) cell-T,cellmarker
CD58,Regulatory T (Treg) cell-T,cellmarker
CD59,Regulatory T (Treg) cell-T,cellmarker
CD7,Regulatory T (Treg) cell-T,cellmarker
CD70,Regulatory T (Treg) cell-T,cellmarker
CD74,Regulatory T (Treg) cell-T,cellmarker
CD79B,Regulatory T (Treg) cell-T,cellmarker
CD80,Regulatory T (Treg) cell-T,cellmarker
CD82,Regulatory T (Treg) cell-T,cellmarker
CD83,Regulatory T (Treg) cell-T,cellmarker
CDIP1,Regulatory T (Treg) cell-T,cellmarker
CDKN1A,Regulatory T (Treg) cell-T,cellmarker
CDKN2A,Regulatory T (Treg) cell-T,cellmarker
CEACAM1,Regulatory T (Treg) cell-T,cellmarker
CKAP2,Regulatory T (Treg) cell-T,cellmarker
CLEC7A,Regulatory T (Treg) cell-T,cellmarker
CLIP1,Regulatory T (Treg) cell-T,cellmarker
CLNK,Regulatory T (Treg) cell-T,cellmarker
CMTM6,Regulatory T (Treg) cell-T,cellmarker
COG1,Regulatory T (Treg) cell-T,cellmarker
COL9A2,Regulatory T (Treg) cell-T,cellmarker
COMMD3,Regulatory T (Treg) cell-T,cellmarker
COPZ1,Regulatory T (Treg) cell-T,cellmarker
CORO1B,Regulatory T (Treg) cell-T,cellmarker
COX5A,Regulatory T (Treg) cell-T,cellmarker
CREB3L2,Regulatory T (Treg) cell-T,cellmarker
CREM,Regulatory T (Treg) cell-T,cellmarker
CSF1,Regulatory T (Treg) cell-T,cellmarker
CSF2RB,Regulatory T (Treg) cell-T,cellmarker
CTLA4,Regulatory T (Treg) cell-T,cellmarker
CTNNA1,Regulatory T (Treg) cell-T,cellmarker
CTNNB1,Regulatory T (Treg) cell-T,cellmarker
CTSA,Regulatory T (Treg) cell-T,cellmarker
CTSC,Regulatory T (Treg) cell-T,cellmarker
CTSD,Regulatory T (Treg) cell-T,cellmarker
CTTNBP2NL,Regulatory T (Treg) cell-T,cellmarker
CXCR3,Regulatory T (Treg) cell-T,cellmarker
CXCR6,Regulatory T (Treg) cell-T,cellmarker
DDB2,Regulatory T (Treg) cell-T,cellmarker
DDIT4,Regulatory T (Treg) cell-T,cellmarker
DDX24,Regulatory T (Treg) cell-T,cellmarker
DNPH1,Regulatory T (Treg) cell-T,cellmarker
DPYSL2,Regulatory T (Treg) cell-T,cellmarker
DUSP10,Regulatory T (Treg) cell-T,cellmarker
DUSP16,Regulatory T (Treg) cell-T,cellmarker
DUSP4,Regulatory T (Treg) cell-T,cellmarker
DYNC1I2,Regulatory T (Treg) cell-T,cellmarker
DYNLL1,Regulatory T (Treg) cell-T,cellmarker
DYNLRB1,Regulatory T (Treg) cell-T,cellmarker
EBI3,Regulatory T (Treg) cell-T,cellmarker
ECH1,Regulatory T (Treg) cell-T,cellmarker
EDARADD,Regulatory T (Treg) cell-T,cellmarker
EIF4H,Regulatory T (Treg) cell-T,cellmarker
ENO1,Regulatory T (Treg) cell-T,cellmarker
ENTPD1,Regulatory T (Treg) cell-T,cellmarker
EPSTI1,Regulatory T (Treg) cell-T,cellmarker
ERI1,Regulatory T (Treg) cell-T,cellmarker
ETV7,Regulatory T (Treg) cell-T,cellmarker
F5,Regulatory T (Treg) cell-T,cellmarker
FAM104A,Regulatory T (Treg) cell-T,cellmarker
FAM110A,Regulatory T (Treg) cell-T,cellmarker
FAM53B,Regulatory T (Treg) cell-T,cellmarker
FANCL,Regulatory T (Treg) cell-T,cellmarker
FANK1,Regulatory T (Treg) cell-T,cellmarker
FAS,Regulatory T (Treg) cell-T,cellmarker
FBLN7,Regulatory T (Treg) cell-T,cellmarker
FKBP1A,Regulatory T (Treg) cell-T,cellmarker
FMNL3,Regulatory T (Treg) cell-T,cellmarker
FOXO1,Regulatory T (Treg) cell-T,cellmarker
FOXP3,Regulatory T (Treg) cell-T,cellmarker
FYCO1,Regulatory T (Treg) cell-T,cellmarker
GABARAP,Regulatory T (Treg) cell-T,cellmarker
GABARAPL1,Regulatory T (Treg) cell-T,cellmarker
GABPB1,Regulatory T (Treg) cell-T,cellmarker
GADD45A,Regulatory T (Treg) cell-T,cellmarker
GADD45G,Regulatory T (Treg) cell-T,cellmarker
GALM,Regulatory T (Treg) cell-T,cellmarker
GAPDH,Regulatory T (Treg) cell-T,cellmarker
GATA3,Regulatory T (Treg) cell-T,cellmarker
GBP2,Regulatory T (Treg) cell-T,cellmarker
GBP4,Regulatory T (Treg) cell-T,cellmarker
GBP5,Regulatory T (Treg) cell-T,cellmarker
GCNT1,Regulatory T (Treg) cell-T,cellmarker
GK,Regulatory T (Treg) cell-T,cellmarker
GLRX,Regulatory T (Treg) cell-T,cellmarker
GOLGA8A,Regulatory T (Treg) cell-T,cellmarker
GOLGA8B,Regulatory T (Treg) cell-T,cellmarker
GOT2,Regulatory T (Treg) cell-T,cellmarker
GPI,Regulatory T (Treg) cell-T,cellmarker
GPX1,Regulatory T (Treg) cell-T,cellmarker
GRINA,Regulatory T (Treg) cell-T,cellmarker
GRN,Regulatory T (Treg) cell-T,cellmarker
GSTO1,Regulatory T (Treg) cell-T,cellmarker
GTF3C6,Regulatory T (Treg) cell-T,cellmarker
HACD1,Regulatory T (Treg) cell-T,cellmarker
HADHA,Regulatory T (Treg) cell-T,cellmarker
HADHB,Regulatory T (Treg) cell-T,cellmarker
HAVCR2,Regulatory T (Treg) cell-T,cellmarker
HDAC7,Regulatory T (Treg) cell-T,cellmarker
HERPUD1,Regulatory T (Treg) cell-T,cellmarker
HLA-DMA,Regulatory T (Treg) cell-T,cellmarker
HLA-DQA1,Regulatory T (Treg) cell-T,cellmarker
HNRNPLL,Regulatory T (Treg) cell-T,cellmarker
HPGD,Regulatory T (Treg) cell-T,cellmarker
HPRT1,Regulatory T (Treg) cell-T,cellmarker
HPSE,Regulatory T (Treg) cell-T,cellmarker
HSD17B10,Regulatory T (Treg) cell-T,cellmarker
HSPA1A,Regulatory T (Treg) cell-T,cellmarker
HSPA1B,Regulatory T (Treg) cell-T,cellmarker
HSPB1,Regulatory T (Treg) cell-T,cellmarker
HTATIP2,Regulatory T (Treg) cell-T,cellmarker
ICA1,Regulatory T (Treg) cell-T,cellmarker
ICAM3,Regulatory T (Treg) cell-T,cellmarker
ICOS,Regulatory T (Treg) cell-T,cellmarker
IFI6,Regulatory T (Treg) cell-T,cellmarker
IFNAR2,Regulatory T (Treg) cell-T,cellmarker
IGFLR1,Regulatory T (Treg) cell-T,cellmarker
IKZF2,Regulatory T (Treg) cell-T,cellmarker
IKZF4,Regulatory T (Treg) cell-T,cellmarker
IL10RB,Regulatory T (Treg) cell-T,cellmarker
IL12RB1,Regulatory T (Treg) cell-T,cellmarker
IL12RB2,Regulatory T (Treg) cell-T,cellmarker
IL1R1,Regulatory T (Treg) cell-T,cellmarker
IL1R2,Regulatory T (Treg) cell-T,cellmarker
IL21R,Regulatory T (Treg) cell-T,cellmarker
IL2RA,Regulatory T (Treg) cell-T,cellmarker
IL2RB,Regulatory T (Treg) cell-T,cellmarker
IL32,Regulatory T (Treg) cell-T,cellmarker
INPP1,Regulatory T (Treg) cell-T,cellmarker
INPP5F,Regulatory T (Treg) cell-T,cellmarker
IRF4,Regulatory T (Treg) cell-T,cellmarker
IRF5,Regulatory T (Treg) cell-T,cellmarker
IRF9,Regulatory T (Treg) cell-T,cellmarker
ISG15,Regulatory T (Treg) cell-T,cellmarker
ISOC1,Regulatory T (Treg) cell-T,cellmarker
KAT2B,Regulatory T (Treg) cell-T,cellmarker
KCNN4,Regulatory T (Treg) cell-T,cellmarker
KDM5B,Regulatory T (Treg) cell-T,cellmarker
KIF20B,Regulatory T (Treg) cell-T,cellmarker
KIF5B,Regulatory T (Treg) cell-T,cellmarker
LAIR2,Regulatory T (Treg) cell-T,cellmarker
LAP3,Regulatory T (Treg) cell-T,cellmarker
LAPTM4A,Regulatory T (Treg) cell-T,cellmarker
LAPTM4B,Regulatory T (Treg) cell-T,cellmarker
LASP1,Regulatory T (Treg) cell-T,cellmarker
LAT2,Regulatory T (Treg) cell-T,cellmarker
LAYN,Regulatory T (Treg) cell-T,cellmarker
LDLRAD4,Regulatory T (Treg) cell-T,cellmarker
LEPROT,Regulatory T (Treg) cell-T,cellmarker
LGALS3,Regulatory T (Treg) cell-T,cellmarker
LMBRD1,Regulatory T (Treg) cell-T,cellmarker
LMCD1,Regulatory T (Treg) cell-T,cellmarker
LOC389831,Regulatory T (Treg) cell-T,cellmarker
LRPAP1,Regulatory T (Treg) cell-T,cellmarker
LRRC61,Regulatory T (Treg) cell-T,cellmarker
LTA,Regulatory T (Treg) cell-T,cellmarker
LY75,Regulatory T (Treg) cell-T,cellmarker
LY75-CD302,Regulatory T (Treg) cell-T,cellmarker
LYST,Regulatory T (Treg) cell-T,cellmarker
MAF,Regulatory T (Treg) cell-T,cellmarker
MAGEH1,Regulatory T (Treg) cell-T,cellmarker
MAN1A2,Regulatory T (Treg) cell-T,cellmarker
MAP1LC3A,Regulatory T (Treg) cell-T,cellmarker
MAP2K3,Regulatory T (Treg) cell-T,cellmarker
MAPKAPK3,Regulatory T (Treg) cell-T,cellmarker
MAST4,Regulatory T (Treg) cell-T,cellmarker
MBOAT7,Regulatory T (Treg) cell-T,cellmarker
MCCC2,Regulatory T (Treg) cell-T,cellmarker
MCL1,Regulatory T (Treg) cell-T,cellmarker
MCM5,Regulatory T (Treg) cell-T,cellmarker
METTL7A,Regulatory T (Treg) cell-T,cellmarker
METTL8,Regulatory T (Treg) cell-T,cellmarker
MGAT1,Regulatory T (Treg) cell-T,cellmarker
MICAL2,Regulatory T (Treg) cell-T,cellmarker
MIIP,Regulatory T (Treg) cell-T,cellmarker
MRPS6,Regulatory T (Treg) cell-T,cellmarker
MX1,Regulatory T (Treg) cell-T,cellmarker
MYO1E,Regulatory T (Treg) cell-T,cellmarker
MYO5A,Regulatory T (Treg) cell-T,cellmarker
MYO5C,Regulatory T (Treg) cell-T,cellmarker
MZB1,Regulatory T (Treg) cell-T,cellmarker
NAB1,Regulatory T (Treg) cell-T,cellmarker
NAMPT,Regulatory T (Treg) cell-T,cellmarker
NAPA,Regulatory T (Treg) cell-T,cellmarker
NBR1,Regulatory T (Treg) cell-T,cellmarker
NCF4,Regulatory T (Treg) cell-T,cellmarker
NCOA3,Regulatory T (Treg) cell-T,cellmarker
NDFIP2,Regulatory T (Treg) cell-T,cellmarker
NDUFA13,Regulatory T (Treg) cell-T,cellmarker
NDUFC2,Regulatory T (Treg) cell-T,cellmarker
NDUFC2-KCTD14,Regulatory T (Treg) cell-T,cellmarker
NEDD9,Regulatory T (Treg) cell-T,cellmarker
NFAT5,Regulatory T (Treg) cell-T,cellmarker
NINJ1,Regulatory T (Treg) cell-T,cellmarker
NINJ2,Regulatory T (Treg) cell-T,cellmarker
NME3,Regulatory T (Treg) cell-T,cellmarker
NPC2,Regulatory T (Treg) cell-T,cellmarker
NPTN,Regulatory T (Treg) cell-T,cellmarker
NSF,Regulatory T (Treg) cell-T,cellmarker
NUDT5,Regulatory T (Treg) cell-T,cellmarker
OAS1,Regulatory T (Treg) cell-T,cellmarker
OAS3,Regulatory T (Treg) cell-T,cellmarker
OCIAD2,Regulatory T (Treg) cell-T,cellmarker
OS9,Regulatory T (Treg) cell-T,cellmarker
OTUD5,Regulatory T (Treg) cell-T,cellmarker
P2RY10,Regulatory T (Treg) cell-T,cellmarker
PAIP2,Regulatory T (Treg) cell-T,cellmarker
PAK2,Regulatory T (Treg) cell-T,cellmarker
PARK7,Regulatory T (Treg) cell-T,cellmarker
PCK2,Regulatory T (Treg) cell-T,cellmarker
PDE4A,Regulatory T (Treg) cell-T,cellmarker
PDIA6,Regulatory T (Treg) cell-T,cellmarker
PELI1,Regulatory T (Treg) cell-T,cellmarker
PGK1,Regulatory T (Treg) cell-T,cellmarker
PHACTR2,Regulatory T (Treg) cell-T,cellmarker
PHLDA1,Regulatory T (Treg) cell-T,cellmarker
PHPT1,Regulatory T (Treg) cell-T,cellmarker
PHTF2,Regulatory T (Treg) cell-T,cellmarker
PIM2,Regulatory T (Treg) cell-T,cellmarker
PIM3,Regulatory T (Treg) cell-T,cellmarker
PKM,Regulatory T (Treg) cell-T,cellmarker
PLEKHG2,Regulatory T (Treg) cell-T,cellmarker
PLTP,Regulatory T (Treg) cell-T,cellmarker
PMAIP1,Regulatory T (Treg) cell-T,cellmarker
POU2F2,Regulatory T (Treg) cell-T,cellmarker
PPM1G,Regulatory T (Treg) cell-T,cellmarker
PPP1CB,Regulatory T (Treg) cell-T,cellmarker
PRDM1,Regulatory T (Treg) cell-T,cellmarker
PRDX1,Regulatory T (Treg) cell-T,cellmarker
PRDX3,Regulatory T (Treg) cell-T,cellmarker
PRDX5,Regulatory T (Treg) cell-T,cellmarker
PRKAR1A,Regulatory T (Treg) cell-T,cellmarker
PRNP,Regulatory T (Treg) cell-T,cellmarker
PSEN1,Regulatory T (Treg) cell-T,cellmarker
PSMA2,Regulatory T (Treg) cell-T,cellmarker
PSMB1,Regulatory T (Treg) cell-T,cellmarker
PSMB3,Regulatory T (Treg) cell-T,cellmarker
PSMB6,Regulatory T (Treg) cell-T,cellmarker
PSMC2,Regulatory T (Treg) cell-T,cellmarker
PSMD11,Regulatory T (Treg) cell-T,cellmarker
PTP4A3,Regulatory T (Treg) cell-T,cellmarker
PTPRJ,Regulatory T (Treg) cell-T,cellmarker
PTTG1,Regulatory T (Treg) cell-T,cellmarker
RAB11FIP1,Regulatory T (Treg) cell-T,cellmarker
RAP1A,Regulatory T (Treg) cell-T,cellmarker
RBPJ,Regulatory T (Treg) cell-T,cellmarker
RCBTB1,Regulatory T (Treg) cell-T,cellmarker
RFX5,Regulatory T (Treg) cell-T,cellmarker
RGS1,Regulatory T (Treg) cell-T,cellmarker
RHBDD2,Regulatory T (Treg) cell-T,cellmarker
RHOC,Regulatory T (Treg) cell-T,cellmarker
RNF187,Regulatory T (Treg) cell-T,cellmarker
RPS27L,Regulatory T (Treg) cell-T,cellmarker
RTKN2,Regulatory T (Treg) cell-T,cellmarker
SAMSN1,Regulatory T (Treg) cell-T,cellmarker
SAT1,Regulatory T (Treg) cell-T,cellmarker
SCO2,Regulatory T (Treg) cell-T,cellmarker
SDC4,Regulatory T (Treg) cell-T,cellmarker
SDF4,Regulatory T (Treg) cell-T,cellmarker
SEC14L1,Regulatory T (Treg) cell-T,cellmarker
SEC61A2,Regulatory T (Treg) cell-T,cellmarker
SERPINB9,Regulatory T (Treg) cell-T,cellmarker
SERPINE2,Regulatory T (Treg) cell-T,cellmarker
SFT2D1,Regulatory T (Treg) cell-T,cellmarker
SGMS1,Regulatory T (Treg) cell-T,cellmarker
SGPP1,Regulatory T (Treg) cell-T,cellmarker
SGSH,Regulatory T (Treg) cell-T,cellmarker
SH2D2A,Regulatory T (Treg) cell-T,cellmarker
SH3BGRL,Regulatory T (Treg) cell-T,cellmarker
SIRPG,Regulatory T (Treg) cell-T,cellmarker
SLA,Regulatory T (Treg) cell-T,cellmarker
SLAMF1,Regulatory T (Treg) cell-T,cellmarker
SLC12A6,Regulatory T (Treg) cell-T,cellmarker
SLC16A1,Regulatory T (Treg) cell-T,cellmarker
SLC25A38,Regulatory T (Treg) cell-T,cellmarker
SLC35F2,Regulatory T (Treg) cell-T,cellmarker
SLC3A2,Regulatory T (Treg) cell-T,cellmarker
SLC41A1,Regulatory T (Treg) cell-T,cellmarker
SLC5A3,Regulatory T (Treg) cell-T,cellmarker
SMC4,Regulatory T (Treg) cell-T,cellmarker
SMPD3,Regulatory T (Treg) cell-T,cellmarker
SMS,Regulatory T (Treg) cell-T,cellmarker
SNX9,Regulatory T (Treg) cell-T,cellmarker
SOX4,Regulatory T (Treg) cell-T,cellmarker
SPATS2L,Regulatory T (Treg) cell-T,cellmarker
SPOCK2,Regulatory T (Treg) cell-T,cellmarker
SQSTM1,Regulatory T (Treg) cell-T,cellmarker
SRA1,Regulatory T (Treg) cell-T,cellmarker
SSH1,Regulatory T (Treg) cell-T,cellmarker
STAM,Regulatory T (Treg) cell-T,cellmarker
STAMBPL1,Regulatory T (Treg) cell-T,cellmarker
STARD7,Regulatory T (Treg) cell-T,cellmarker
SUMO1,Regulatory T (Treg) cell-T,cellmarker
SUOX,Regulatory T (Treg) cell-T,cellmarker
SURF4,Regulatory T (Treg) cell-T,cellmarker
SYNGR2,Regulatory T (Treg) cell-T,cellmarker
TBC1D4,Regulatory T (Treg) cell-T,cellmarker
TBC1D8,Regulatory T (Treg) cell-T,cellmarker
TET2,Regulatory T (Treg) cell-T,cellmarker
TFRC,Regulatory T (Treg) cell-T,cellmarker
THADA,Regulatory T (Treg) cell-T,cellmarker
TIGIT,Regulatory T (Treg) cell-T,cellmarker
TLK1,Regulatory T (Treg) cell-T,cellmarker
TM9SF2,Regulatory T (Treg) cell-T,cellmarker
TMEM154,Regulatory T (Treg) cell-T,cellmarker
TMX1,Regulatory T (Treg) cell-T,cellmarker
TNFAIP3,Regulatory T (Treg) cell-T,cellmarker
TNFRSF13B,Regulatory T (Treg) cell-T,cellmarker
TNFRSF18,Regulatory T (Treg) cell-T,cellmarker
TNFRSF1B,Regulatory T (Treg) cell-T,cellmarker
TNFRSF4,Regulatory T (Treg) cell-T,cellmarker
TNFRSF8,Regulatory T (Treg) cell-T,cellmarker
TNFRSF9,Regulatory T (Treg) cell-T,cellmarker
TNIP1,Regulatory T (Treg) cell-T,cellmarker
TNIP3,Regulatory T (Treg) cell-T,cellmarker
TNS3,Regulatory T (Treg) cell-T,cellmarker
TOM1,Regulatory T (Treg) cell-T,cellmarker
TOX,Regulatory T (Treg) cell-T,cellmarker
TOX2,Regulatory T (Treg) cell-T,cellmarker
TP53INP1,Regulatory T (Treg) cell-T,cellmarker
TPI1,Regulatory T (Treg) cell-T,cellmarker
TPMT,Regulatory T (Treg) cell-T,cellmarker
TPP1,Regulatory T (Treg) cell-T,cellmarker
TRAF1,Regulatory T (Treg) cell-T,cellmarker
TRAF3,Regulatory T (Treg) cell-T,cellmarker
TRIM69,Regulatory T (Treg) cell-T,cellmarker
TRPS1,Regulatory T (Treg) cell-T,cellmarker
TSPAN13,Regulatory T (Treg) cell-T,cellmarker
TSPYL2,Regulatory T (Treg) cell-T,cellmarker
TTN,Regulatory T (Treg) cell-T,cellmarker
TTYH3,Regulatory T (Treg) cell-T,cellmarker
TULP4,Regulatory T (Treg) cell-T,cellmarker
TYMP,Regulatory T (Treg) cell-T,cellmarker
UBE2L6,Regulatory T (Treg) cell-T,cellmarker
UBE2N,Regulatory T (Treg) cell-T,cellmarker
UCP2,Regulatory T (Treg) cell-T,cellmarker
UGP2,Regulatory T (Treg) cell-T,cellmarker
USP48,Regulatory T (Treg) cell-T,cellmarker
UXS1,Regulatory T (Treg) cell-T,cellmarker
VAV3,Regulatory T (Treg) cell-T,cellmarker
VCP,Regulatory T (Treg) cell-T,cellmarker
VDR,Regulatory T (Treg) cell-T,cellmarker
VEZT,Regulatory T (Treg) cell-T,cellmarker
VMP1,Regulatory T (Treg) cell-T,cellmarker
VPS54,Regulatory T (Treg) cell-T,cellmarker
WDFY1,Regulatory T (Treg) cell-T,cellmarker
WDR83OS,Regulatory T (Treg) cell-T,cellmarker
WHRN,Regulatory T (Treg) cell-T,cellmarker
WSB1,Regulatory T (Treg) cell-T,cellmarker
YJEFN3,Regulatory T (Treg) cell-T,cellmarker
ZBED2,Regulatory T (Treg) cell-T,cellmarker
ZBTB32,Regulatory T (Treg) cell-T,cellmarker
ZC2HC1A,Regulatory T (Treg) cell-T,cellmarker
ZC3H12D,Regulatory T (Treg) cell-T,cellmarker
ZC3H7A,Regulatory T (Treg) cell-T,cellmarker
ZFP36L1,Regulatory T (Treg) cell-T,cellmarker
ZNF280C,Regulatory T (Treg) cell-T,cellmarker
ZNF292,Regulatory T (Treg) cell-T,cellmarker
LGR5,Stem cell-N,cellmarker
LIN28A,Stem cell-N,cellmarker
KRT18,Stem cell-N,cellmarker
KRT19,Stem cell-N,cellmarker
KIT,Stem cell-N,cellmarker
CD44,Stem cell-N,cellmarker
EPCAM,Stem cell-N,cellmarker
PROM1,Stem cell-N,cellmarker
ITGA6,Stem cell-N,cellmarker
NANOG,Stem cell-N,cellmarker
POU5F1,Stem cell-N,cellmarker
SOX2,Stem cell-N,cellmarker
NES,Stem cell-N,cellmarker
ADAM17,Stem cell-N,cellmarker
MSI1,Stem cell-N,cellmarker
DLK1,Stem cell-N,cellmarker
SOX9,Stem cell-N,cellmarker
DCLK1,Stem cell-N,cellmarker
UBD,Stem cell-N,cellmarker
GSTP1,Stem cell-N,cellmarker
AFP,Stem cell-N,cellmarker
THY1,Stem cell-N,cellmarker
CD34,Stem cell-N,cellmarker
NCAM1,Stem cell-N,cellmarker
CD3D,T cell-N,cellmarker
CD3E,T cell-N,cellmarker
CD3G,T cell-N,cellmarker
CD244,T cell-N,cellmarker
PDCD1,T cell-N,cellmarker
CD28,T cell-N,cellmarker
PTPRC,T cell-N,cellmarker
CD8A,T cell-N,cellmarker
TRA,T cell-N,cellmarker
TRB,T cell-N,cellmarker
CD4,T cell-N,cellmarker
IL2RA,T cell-N,cellmarker
CD27,T cell-N,cellmarker
CD58,T cell-N,cellmarker
CD7,T cell-N,cellmarker
CD3D,T cell-N,stCancer
CD3E,T cell-N,stCancer
CD3G,T cell-N,stCancer
CD3D,T helper cell-N,cellmarker
CD3E,T helper cell-N,cellmarker
CD3G,T helper cell-N,cellmarker
CD4,T helper cell-N,cellmarker
ABCB1,T helper cell-N,cellmarker
CAPG,T helper cell-N,cellmarker
CD69,T helper cell-N,cellmarker
DPP4,T helper cell-N,cellmarker
DUSP1,T helper cell-N,cellmarker
GZMK,T helper cell-N,cellmarker
IFNGR1,T helper cell-N,cellmarker
PARP8,T helper cell-N,cellmarker
PVRIG,T helper cell-N,cellmarker
SLC4A10,T helper cell-N,cellmarker
CCL5,T/NK-N,azimuth
KLRB1,T/NK-N,azimuth
NKG7,T/NK-N,azimuth
GZMA,T/NK-N,azimuth
CCL4,T/NK-N,azimuth
IL7R,T/NK-N,azimuth
CD69,T/NK-N,azimuth
CST7,T/NK-N,azimuth
GZMK,T/NK-N,azimuth
CD3D,T/NK-N,azimuth
